,solution (All),solutions (All),pedant (All),pedants (All),vegetable (All),vegetables (All),datum (All),data (All)
0,0.00014675098233851713,4.6104599604746e-05,3.981210465811569e-07,2.5834086558873537e-07,1.0227811138463494e-05,1.1943574765638232e-05,2.487950779617165e-06,0.0002703418529108603
1,0.00014726754068306036,4.676404903420917e-05,3.82262086612295e-07,2.471608055998331e-07,1.0371146328225224e-05,1.2116544158402576e-05,2.397005170706734e-06,0.0002744256269579637
2,0.00014635450090357457,4.685611936376214e-05,3.678964516038811e-07,2.3235263535426043e-07,1.0682463861636885e-05,1.260937307989707e-05,2.3990536757168e-06,0.0002833675513708537
3,0.0001454912464039028,4.702275780183689e-05,3.5328602897487044e-07,2.2077245910777167e-07,1.0813102700727281e-05,1.2962530330388029e-05,2.3433708921264236e-06,0.00028938148794363126
4,0.0001447346809300143,4.7294261313319505e-05,3.191010298577078e-07,2.0315241387537852e-07,1.1151824821808987e-05,1.354622504834424e-05,2.2681429011787e-06,0.00030342796389959403
5,0.00014444658651362782,4.6906035842247154e-05,3.074572587001358e-07,1.88002449417825e-07,1.1279623777227242e-05,1.3984385997137646e-05,2.2755325167013647e-06,0.00031577267171607157
6,0.00014225549268433366,4.6925727994156266e-05,2.8760469944488776e-07,1.7394580797969184e-07,1.1445278837689849e-05,1.4385101152925019e-05,2.3779636388253167e-06,0.0003286149481677317
7,0.00014119276579549478,4.684135447925136e-05,2.737187360340216e-07,1.5608527219918802e-07,1.1790475708396895e-05,1.4795077829278724e-05,2.3422336400561306e-06,0.0003365006092021109
8,0.00013883409535862614,4.6170038087568954e-05,2.6064193807208624e-07,1.4565494397901698e-07,1.2010607361747003e-05,1.5319589936422873e-05,2.348511234373518e-06,0.00034787814885411147
9,0.00013778156474992493,4.616740605862496e-05,2.5428443028203365e-07,1.3885519197945738e-07,1.2196538741753621e-05,1.571694662873467e-05,2.3359394129483595e-06,0.0003531975666451867
10,0.00013693367964151548,4.6239295418867444e-05,2.459427445589135e-07,1.3656790225675358e-07,1.2468715120966018e-05,1.6035469022719034e-05,2.4401302215640693e-06,0.0003620478104754251
11,0.00013576516565600677,4.6297283379967015e-05,2.3120179780995134e-07,1.2514502615143132e-07,1.2610362444677645e-05,1.6528456727980612e-05,2.406242190642973e-06,0.00037103261027888427
12,0.00013301275219289112,4.623344861849026e-05,2.2039729662732504e-07,1.1782768316592751e-07,1.2855735442534363e-05,1.6896838624396488e-05,2.3647428208611084e-06,0.0003807393924424624
13,0.00013260850982987904,4.6543307608512153e-05,2.1169971226824608e-07,1.130421647716722e-07,1.2833229939295573e-05,1.7082499673343978e-05,2.40704562415317e-06,0.00038568396757909795
14,0.0001298555725465381,4.585850559481384e-05,2.1024895890953132e-07,1.1385919553217961e-07,1.2791550854477203e-05,1.7216551453559858e-05,2.4082133833758235e-06,0.0003872899402007793
15,0.00012918807622749488,4.5814248429516215e-05,2.0613644867241628e-07,1.1058555411074572e-07,1.273982578758088e-05,1.7213741943221195e-05,2.3755440910885487e-06,0.00038828445511691304
16,0.00012821244290859925,4.55383297435219e-05,1.9337188127727905e-07,1.0773733708343716e-07,1.2472577805868112e-05,1.6941460972118095e-05,2.298220543650586e-06,0.0003883139357380319
17,0.00012516849333873582,4.478556478813646e-05,1.9019531349862007e-07,1.00687013647262e-07,1.2211160527694379e-05,1.680027021474676e-05,2.1678139684614247e-06,0.00039082952194543656
18,0.00012355601493904293,4.4552358580014175e-05,1.852859373231906e-07,1.0038840742814565e-07,1.2136178355603988e-05,1.6500020598592918e-05,2.0866587579096825e-06,0.0003875549436997971
19,0.00012299288482608972,4.4935749055444566e-05,1.7558435074148194e-07,9.833112134062715e-08,1.2002066845135622e-05,1.6397963810683386e-05,2.024271162883094e-06,0.0003863033929779444
20,0.00012059608632495967,4.4457147055254616e-05,1.7416092374616147e-07,9.941127242031809e-08,1.2015324240824807e-05,1.6453276554021352e-05,1.8317234058429221e-06,0.0003801075182699216
21,0.0001196432478829073,4.4824368095370506e-05,1.6654408395235164e-07,9.345143687460628e-08,1.2018603375249118e-05,1.6572587832846306e-05,1.8009490142998985e-06,0.00038056736346853934
22,0.00011804709760911335,4.493101550094382e-05,1.6086134684607195e-07,8.963310379631448e-08,1.2162734285376634e-05,1.6686805827654488e-05,1.8627938734385097e-06,0.00037885686404998917
23,0.00011609706153389457,4.4801622574855825e-05,1.5945162659284202e-07,8.969120018116022e-08,1.2448199230772972e-05,1.7116445338924026e-05,1.8620313494263234e-06,0.00037618139075285787
24,0.00011608583783332245,4.499629680562326e-05,1.6009708937923607e-07,8.806285732378325e-08,1.2692345446144568e-05,1.7486002686187673e-05,1.865651709311221e-06,0.00037001157962939554
25,0.00011555004914498568,4.529453156822325e-05,1.5996524728643739e-07,8.810264416427215e-08,1.278503079049642e-05,1.7909224940889805e-05,1.9334106795554362e-06,0.0003683931931846019
26,0.00011362268147812366,4.4959089214963956e-05,1.5908788018683036e-07,8.664309384239946e-08,1.2764687003904587e-05,1.8098841232066274e-05,1.928812834149442e-06,0.0003634691415105148
27,0.00011193122876258191,4.4788056405715384e-05,1.621904304035685e-07,8.168960022710995e-08,1.2797532505715024e-05,1.8270088655672873e-05,1.8677876893389924e-06,0.00036258576587247906
28,0.00011095491504420352,4.4705064267093674e-05,1.645733091233075e-07,8.041022019662186e-08,1.2644360428534386e-05,1.8172950441502117e-05,1.8204287291569341e-06,0.0003628993040690278
29,0.00010879645505415933,4.440386419446441e-05,1.645646216281398e-07,7.820903746846852e-08,1.2416611909316089e-05,1.8393502959465226e-05,1.722015752595293e-06,0.00036696940284335663
30,0.00010650281184812878,4.374892703903502e-05,1.8024984275008142e-07,7.78503129897753e-08,1.2157724691113409e-05,1.8234392726412807e-05,1.7095231620142419e-06,0.0003698617202059852
31,0.00010316305388511995,4.253062740693687e-05,1.8414621995508996e-07,8.269459326827797e-08,1.1796432102885645e-05,1.793782742660304e-05,1.6653422125756379e-06,0.0003606822786618328
32,0.000100073699562537,4.148567407469273e-05,1.8899189854363184e-07,8.203162822033912e-08,1.1563896208599544e-05,1.774585610446268e-05,1.5932472257063068e-06,0.0003525375644975222
33,9.725423834489837e-05,4.034788172394396e-05,1.9955682103603832e-07,8.520485954883432e-08,1.1418331865797882e-05,1.763438057115049e-05,1.5937739974753688e-06,0.00034122109455633363
34,9.368600836166608e-05,3.9062749993133495e-05,2.0929102698527148e-07,8.934001950931605e-08,1.1247434837205869e-05,1.7378422790719537e-05,1.5737274519724207e-06,0.00032968868900492713
35,8.972170092290201e-05,3.639425523260798e-05,2.506788600824856e-07,1.1009143279545291e-07,1.1360131239257498e-05,1.7059528238811644e-05,1.4892457428520143e-06,0.0003023926548654085
36,8.56380141190779e-05,3.37449913294969e-05,2.9657767759110646e-07,1.4156222105654592e-07,1.1510853425988898e-05,1.64741956731567e-05,1.457164460459483e-06,0.0002720991696410887
37,7.165424275561754e-05,2.8048376267163026e-05,2.5912878382732577e-07,1.2889484901634773e-07,9.817156367830648e-06,1.3925231004106666e-05,1.21612977237768e-06,0.00021966525952978245
38,6.866128237940454e-05,2.6707925402528567e-05,2.6618548136051834e-07,1.3230404527497797e-07,9.644644957044571e-06,1.3440479567824088e-05,1.1618447848249502e-06,0.0002066792779563305
39,6.41955901073743e-05,2.437391399610078e-05,2.8068728470387326e-07,1.4085601902635857e-07,9.372821961051158e-06,1.2669579078306015e-05,1.0733711027555159e-06,0.00018640142998265218
40,5.789116306686992e-05,2.1089708756250047e-05,2.9450597438529513e-07,1.5158461141862034e-07,8.980057788932072e-06,1.158737917705821e-05,9.255306461231072e-07,0.0001601471151388978
